transaction_id,amount,customer_age,transaction_type,payment_method,location,time_of_day,is_fraud
1,380.7947176588889,68,POS,Debit Card,USA,Morning,0
2,951.207163345817,57,ATM,Credit Card,Canada,Night,1
3,734.6740023932911,24,ATM,Credit Card,UK,Night,0
4,602.6718993550662,49,Online,Credit Card,UK,Night,0
5,164.45845403801215,65,Online,Debit Card,USA,Afternoon,0
6,164.43457513284062,36,Online,Crypto,India,Evening,0
7,67.50277604651747,23,POS,PayPal,USA,Morning,0
8,867.5143843171858,37,ATM,PayPal,Canada,Morning,0
9,605.1038616257767,44,ATM,Debit Card,Germany,Afternoon,0
10,710.9918520180851,60,Online,Crypto,UK,Night,0
11,30.378649352844423,54,Online,Crypto,Germany,Evening,0
12,970.2107536403744,65,POS,Debit Card,UK,Night,0
13,834.1182143924175,24,ATM,Credit Card,Canada,Morning,0
14,220.2157195714934,22,POS,Crypto,UK,Afternoon,0
15,190.00671753502962,28,ATM,PayPal,USA,Evening,0
16,191.5704647548995,32,POS,Debit Card,Germany,Evening,0
17,311.1998205299424,20,Online,PayPal,Germany,Evening,0
18,529.5088673159155,22,POS,Credit Card,Canada,Evening,0
19,437.62556845569463,40,POS,Debit Card,Germany,Afternoon,0
20,298.3168487960615,54,Online,PayPal,Canada,Morning,0
21,615.7343657751557,26,ATM,PayPal,India,Evening,0
22,148.09892204552142,32,ATM,Credit Card,USA,Evening,0
23,299.22320204986596,20,Online,Debit Card,UK,Morning,0
24,372.6982248607548,46,POS,Crypto,UK,Night,0
25,461.50928437486556,23,POS,Crypto,UK,Evening,0
26,787.3242017790834,34,POS,PayPal,India,Evening,0
27,207.67704433677613,43,ATM,Credit Card,USA,Night,0
28,519.0920940294754,38,POS,PayPal,Germany,Morning,1
29,596.4904231734221,25,ATM,Credit Card,Germany,Morning,0
30,55.98590859279775,38,POS,Crypto,USA,Evening,0
31,611.4694033824239,28,Online,PayPal,USA,Morning,0
32,178.8188824504186,55,Online,PayPal,UK,Night,0
33,74.40107705542673,25,ATM,Credit Card,Germany,Afternoon,1
34,949.3966818807999,59,ATM,Debit Card,USA,Night,0
35,965.9757127438138,41,Online,Credit Card,Germany,Night,0
36,810.3133746352966,52,Online,Debit Card,USA,Afternoon,0
37,311.56763148163697,31,POS,Crypto,Canada,Night,0
38,106.69539286632003,31,Online,PayPal,UK,Evening,0
39,687.3906962470353,27,ATM,PayPal,USA,Evening,0
40,445.7509688022053,29,Online,Credit Card,India,Morning,0
41,130.81785249633106,55,ATM,Credit Card,USA,Morning,0
42,500.2251410101575,61,ATM,Crypto,Canada,Night,0
43,44.04463590406621,63,POS,Crypto,India,Evening,0
44,910.2271980579942,51,POS,Debit Card,India,Evening,0
45,266.1921817840167,58,POS,Crypto,USA,Afternoon,0
46,665.8970615104422,27,POS,Crypto,Canada,Morning,0
47,318.59396532851684,34,Online,Crypto,India,Evening,0
48,524.8673409660327,34,POS,Crypto,UK,Night,0
49,551.2431765498469,20,Online,Debit Card,UK,Evening,0
50,193.00591097027177,48,POS,Crypto,Germany,Morning,1
51,969.888781486913,68,POS,Debit Card,Germany,Night,0
52,777.3814951275034,18,ATM,Credit Card,Canada,Morning,0
53,940.1039521485473,29,Online,PayPal,India,Evening,0
54,895.8790769233724,56,ATM,Credit Card,UK,Evening,0
55,601.9209790229743,21,POS,Crypto,UK,Evening,0
56,922.6554926728857,59,Online,PayPal,Canada,Morning,1
57,97.6075770314003,30,POS,Crypto,India,Night,0
58,204.02303379495373,51,ATM,Crypto,Canada,Evening,0
59,54.775016021432684,59,Online,Credit Card,USA,Evening,0
